Date / Time,City,State,Shape,Duration,Summary,Posted
10/6/2007 22:00,Willow,AK,Circle,seconds,"One glow in the dark green orb flying in a northward direction above the treeline, visible for only seconds.",10/8/2007
9/15/2007 2:30,Kenai Peninsula,AK,Triangle,10-20 seconds,3 Triangular objects in Alaksa,10/8/2007
6/30/2007 22:09,North Pole,AK,Formation,Approx. 3hrs,((HOAX??)) Strange ships and electrical interference.,8/7/2007
4/24/2007 3:00,Homer,AK,Fireball,5 seconds,"Approx. 3:30 AM on the morning on April 24th four male adults driving alongside Kachamak Bay, in Homer, AK.",4/27/2007
3/4/2007 19:45,Eagle River,AK,Circle,,Fast moving blue object over Alaska sky. No trail. It then vanished.,3/8/2007
2/18/2007 20:15,Slana,AK,Light,20 seconds,"02/18/07, 2015AST, a pale green light was observed travelling along the southern slopes of the Alaska Range in eastern central Alaska.",2/24/2007
1/27/2007 23:07,Anchorage,AK,Disk,"10,000","It was very bright and had lights that were very red, the disk was silver, and it stayed in the air for about 5 minutes.",2/1/2007
12/31/2006 21:47,Fairbanks,AK,Fireball,4 minutes,We were on the porch the orange object went from east to west across the town sat on the west side for 45 seconds then went into space.,12/20/2012
12/15/2006 12:00,Wasilla,AK,Oval,1:00 minute,it is round and oval and its really fast.,2/1/2007
11/28/2006 17:20,Anchorage,AK,Light,3 seconds,an amazingly fast blue-green light pulsing to the chugach mountains in south anchorage,12/7/2006
11/14/2006 23:25,Anchorage,AK,Light,2 seconds or so,"greenish ball of light moving rapidly in northern direction at exactly 11:25 pm Alaska time Nov. 14, 2006",12/7/2006
11/10/2006 23:15,North Pole,AK,Other,20 seconds,"A tall line of green light from the ground up into the sky, 3"" wide, bright glowing for 20 sec. then narrowing until it was gone.",12/7/2006
10/23/2006 21:03,Anchorage,AK,Changing,@ 10 min.,"INTENSE AMBER-ORANGE HONEYCOMB SHAPED DUAL HORIZONTAL LIGHT;, SILENT DECENT....",12/7/2006
10/23/2006 21:00,Anchorage,AK,Circle,2 Hours +,"Multiple craft sighted above a Anchorage, Ak",10/30/2006
10/10/2006 23:55,Knik,AK,Triangle,5,"Slow moving, no sound, illuminated (craft) triangle over Point McKenzie, Alaska.",10/30/2006
10/8/2006 14:02,Anchorage,AK,Disk,1:00,black disc-shaped object rose from behind a mountain then stopped and moved quickly to the south against a heavy wind,10/30/2006
9/30/2006 14:30,Anchorage,AK,Disk,30 minutes,Large shiny white disk hovering West and East in afternoon sky.,10/30/2006
9/30/2006 14:00,Anchorage,AK,Disk,45 minutes,Disk shaped object in sky for 45 minutes,4/27/2007
6/15/2006 1:43,North Pole,AK,Oval,a couple seconds,Large white ball in the sky,7/16/2006
3/21/2006,White Mountain,AK,Sphere,1/2 hour,Three orbs were bounced towards our little village the first one was at 2:15 am and it was white lite in color about 2 inches in diamet,5/15/2006
2/6/2006 12:00,Fairbanks,AK,Sphere,10 seconds,Flying disk,10/30/2006
12/25/2005 23:30,Anchorage,AK,Light,5 min,"ufo was traveling above the clouds, over east Anchorage",2/14/2006
12/15/2005 1:30,Wasilla,AK,Triangle,3 1/2 to 4 minutes,Stealth shapped silent object with no noise or vibration from north to south at slow sped and low altitude.,2/1/2007
11/1/2005 0:30,Glennallen,AK,Unknown,3.5 hrs.,((HOAX??)) Aliens and UFOs on Halloween night near HAARP!!!,10/10/2011
10/18/2005 1:00,Anchorage,AK,Other,2 hours,"These Structures were gyrating, twirling, twisting and dancing like a lariat in a ribbon like manner at extremely high speed.",10/20/2005
10/15/2005 23:00,Fairbanks,AK,Light,30,"4 balls floating over town , disappearing one by one and coming back , happend twice",3/11/2006
9/2/2005 2:30,Tracy Arm (near; on cruise ship),AK,Light,15 min.,Balls of light seen from cruise ship in Alaska!,10/11/2005
8/11/2005 6:11,Suriname,AK,Unknown,30-45 minutes,"((HOAX??))This was not a ship or aircraft, but more a display of lights in different colors. It was like someone writing in the sky.",9/2/2005
7/7/2005 22:00,"Susitna Lodge (10 mi. E of, Denali Hwy.)",AK,Other,10 seconds,((NUFORC Note: Possible mil. activity. PD)) 3 faded bluish grey craft appeared then disappeared overhead during mil. exer. over AK.,9/2/2005
7/7/2005 18:45,Susitna Lodge (10 miles E of; Denali Highway),AK,Rectangle,10 seconds,I could hear the first craft going over but all I could see was blue sky where the sound was coming from. Then it appeared for only one,9/2/2005
6/16/2005 19:00,Nikiski,AK,Triangle,15 min,"three of us were traveling to town when we witnessed what seemed to be a star shaped bright light. As we approched the light, we",7/16/2006
6/12/2005 14:00,Rio de Janeiro (Brazil),AK,Oval,15-20 minutes,OVNIS AT THE BEACH...,9/2/2005
5/24/2005 18:30,Anchor Point,AK,Disk,5 minutes,Large UFO over Mt. ILIAMNA Alaska. ((NUFORC Note: Possible contrail behind a high-altitude jet?? PD)),5/28/2005
